Vmag,Plx,B-V,Abs Mag
9.1,3.54,0.482,1.2619934759484246
9.27,21.9,0.999,-0.38888822968023645
6.61,2.81,-0.019,2.4585873601898407
8.06,7.75,0.37,0.9973965949873793
8.55,2.87,0.902,1.6642362065320149
12.31,18.8,1.336,-1.4723156985273598
9.64,17.74,0.74,-0.3539072309914154
9.05,5.17,1.102,0.9530189138121147
8.59,4.81,1.067,1.1997098472523366
8.59,10.76,0.489,0.5003754573392595
7.34,4.29,0.081,1.7990854156305516
8.43,4.06,1.484,1.410947932845612
8.8,3.49,1.128,1.39434914608164
7.25,5.11,1.2,1.6831581997305747
8.6,2.45,1.166,1.7816678312709349
8.15,6.15,0.425,1.1622497684491662
11.71,0.53,0.421,1.8674482607984217
11.03,19.93,1.567,-1.011014597400975
6.53,4.12,0.955,2.15820556793373
8.51,10.76,0.516,0.5323754573392595
7.55,5.84,1.438,1.4471743057752011
8.69,4.47,0.962,1.2233849537361272
7.57,12.21,0.456,0.7985686721102347
9.05,9.73,0.528,0.40377431946329595
6.28,13.74,0.763,1.2120265345529364
9.13,9.19,0.535,0.4213689772277771
9.32,9.66,0.671,0.3020457471690129
8.83,5.64,0.468,0.9654417920333154
9.14,2.85,1.041,1.4343102799829794
8.26,3.79,0.142,1.5387215800638554
7.63,1.84,1.453,2.418364353980927
9.09,3.1,0.04,1.3812766123314546
8.1,8.94,0.466,0.8573249624081647
6.43,12.71,0.514,1.2197088988919838
9.07,5.96,0.916,0.821507480519527
7.68,6.3,1.15,1.3293189010928368
10.44,3.74,0.391,0.6782567955990398
8.65,23.84,0.778,-0.21461250213639788
7.46,10.98,0.475,0.9347953197718535
8.7,3.42,0.026,1.4519477878877303
10.61,-3.4,0.57,0.6930421659154898
8.2,6.38,0.387,1.1103586425576755
6.18,7.63,1.032,1.762950924090239
7.91,2.41,1.104,2.071965914850263
8.57,1.19,1.035,2.4209060772149384
10.78,24.45,1.15,-1.0885577269192779
7.31,1.86,1.164,2.5369741115641675
9.53,1.59,0.45,1.785205751359097
6.49,16.89,0.616,0.9487407008579826
8.94,0.41,0.906,3.1984322865605295
8.56,3.95,0.196,1.3828058087470794
10.57,20.97,1.03,-0.8711968609306879
7.4,14.66,0.551,0.7077320593897813
8.12,3.47,1.329,1.6713410504182526
8.27,33.89,0.863,-0.3681431376747565
